song_title,artist,year,genre_group
"Hey, Soul Sister",Train,2010,3
Love The Way You Lie,Eminem,2010,3
TiK ToK,Kesha,2010,3
Bad Romance,Lady Gaga,2010,3
Just the Way You Are,Bruno Mars,2010,3
Dynamite,Taio Cruz,2010,3
Secrets,OneRepublic,2010,3
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,3
Marry You,Bruno Mars,2010,3
Cooler Than Me - Single Mix,Mike Posner,2010,3
Telephone,Lady Gaga,2010,3
Like A G6,Far East Movement,2010,3
Eenie Meenie,Sean Kingston,2010,3
The Time (Dirty Bit),The Black Eyed Peas,2010,3
Alejandro,Lady Gaga,2010,3
Your Love Is My Drug,Kesha,2010,3
Meet Me Halfway,The Black Eyed Peas,2010,3
Take It Off,Kesha,2010,3
Misery,Maroon 5,2010,3
All The Right Moves,OneRepublic,2010,3
Naturally,Selena Gomez & The Scene,2010,3
I Like It,Enrique Iglesias,2010,3
Teenage Dream,Katy Perry,2010,3
California Gurls,Katy Perry,2010,3
3,Britney Spears,2010,3
My First Kiss - feat. Ke$ha,3OH!3,2010,3
Blah Blah Blah (feat. 3OH!3),Kesha,2010,3
Imma Be,The Black Eyed Peas,2010,3
Sexy Bitch (feat. Akon),David Guetta,2010,3
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,3
Rock That Body,The Black Eyed Peas,2010,3
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,3
You Lost Me,Christina Aguilera,2010,3
Not Myself Tonight,Christina Aguilera,2010,3
Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,3
Break Your Heart,Taio Cruz,2010,3
A Thousand Years,Christina Perri,2011,3
Give Me Everything,Pitbull,2011,3
Just the Way You Are,Bruno Mars,2011,3
Run the World (Girls),Beyoncé,2011,3
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,3
Love On Top,Beyoncé,2011,3
Grenade,Bruno Mars,2011,3
Tonight Tonight,Hot Chelle Rae,2011,3
Born This Way,Lady Gaga,2011,3
Marry You,Bruno Mars,2011,3
Best Thing I Never Had,Beyoncé,2011,3
Party Rock Anthem,LMFAO,2011,3
We R Who We R,Kesha,2011,3
Good Life,OneRepublic,2011,3
Just Cant Get Enough,The Black Eyed Peas,2011,3
On The Floor,Jennifer Lopez,2011,3
Yeah 3x,Chris Brown,2011,3
Without You (feat. Usher),David Guetta,2011,3
Sexy And I Know It,LMFAO,2011,3
The Edge Of Glory,Lady Gaga,2011,3
E.T.,Katy Perry,2011,3
Till the World Ends,Britney Spears,2011,3
I Wanna Go,Britney Spears,2011,3
Blow,Kesha,2011,3
You And I,Lady Gaga,2011,3
Judas,Lady Gaga,2011,3
Tonight (I'm Fuckin' You),Enrique Iglesias,2011,3
Please Don't Go,Mike Posner,2011,3
Marry The Night,Lady Gaga,2011,3
1+1,Beyoncé,2011,3
Hold It Against Me,Britney Spears,2011,3
I'm Into You,Jennifer Lopez,2011,3
Papi,Jennifer Lopez,2011,3
Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,3
Jar of Hearts,Christina Perri,2011,3
Super Bass,Nicki Minaj,2011,3
Raise Your Glass,P!nk,2011,3
Invading My Mind,Jennifer Lopez,2011,3
Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,3
Last Friday Night (T.G.I.F.),Katy Perry,2011,3
Firework,Katy Perry,2011,3
Muny - Album Version (Edited),Nicki Minaj,2011,3
Titanium (feat. Sia),David Guetta,2012,3
Locked Out of Heaven,Bruno Mars,2012,3
Payphone,Maroon 5,2012,3
I Knew You Were Trouble.,Taylor Swift,2012,3
Love You Like A Love Song,Selena Gomez & The Scene,2012,3
We Are Never Ever Getting Back Together,Taylor Swift,2012,3
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,3
Try,P!nk,2012,3
Starships,Nicki Minaj,2012,3
One More Night,Maroon 5,2012,3
Good Time,Owl City,2012,3
International Love,Pitbull,2012,3
Part Of Me,Katy Perry,2012,3
Wide Awake,Katy Perry,2012,3
The One That Got Away,Katy Perry,2012,3
Dance Again,Jennifer Lopez,2012,3
Turn Up the Music,Chris Brown,2012,3
Lights - Single Version,Ellie Goulding,2012,3
Don't Stop the Party (feat. TJR),Pitbull,2012,3
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,3
It Will Rain,Bruno Mars,2012,3
Blow Me (One Last Kiss),P!nk,2012,3
Underneath the Tree,Kelly Clarkson,2013,3
Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,3
Roar,Katy Perry,2013,3
We Can't Stop,Miley Cyrus,2013,3
Wrecking Ball,Miley Cyrus,2013,3
Impossible,James Arthur,2013,3
Blurred Lines,Robin Thicke,2013,3
Heart Attack,Demi Lovato,2013,3
We Are Never Ever Getting Back Together,Taylor Swift,2013,3
Die Young,Kesha,2013,3
Under Control,Calvin Harris,2013,3
Sweet Nothing (feat. Florence Welch),Calvin Harris,2013,3
Work Bitch,Britney Spears,2013,3
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2013,3
Feel This Moment (feat. Christina Aguilera),Pitbull,2013,3
Beneath Your Beautiful,Labrinth,2013,3
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,3
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2013,3
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,3
The Way,Ariana Grande,2013,3
Suit & Tie,Justin Timberlake,2013,3
#thatPOWER,will.i.am,2013,3
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,2013,3
Daylight,Maroon 5,2013,3
Love Somebody,Maroon 5,2013,3
A Little Party Never Killed Nobody (All We Got),Fergie,2013,3
Move,Little Mix,2013,3
Mirrors - Radio Edit,Justin Timberlake,2013,3
Next To Me,Emeli Sandé,2013,3
Made In The USA,Demi Lovato,2013,3
Clown,Emeli Sandé,2013,3
TKO,Justin Timberlake,2013,3
Come & Get It,Selena Gomez,2013,3
Live It Up,Jennifer Lopez,2013,3
What About Love,Austin Mahone,2013,3
Take Back the Night,Justin Timberlake,2013,3
Applause,Lady Gaga,2013,3
Anything Could Happen,Ellie Goulding,2013,3
Finally Found You,Enrique Iglesias,2013,3
#Beautiful,Mariah Carey,2013,3
How Ya Doin'? (feat. Missy Elliott),Little Mix,2013,3
Crazy Kids (feat. will.i.am),Kesha,2013,3
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,2013,3
People Like Us,Kelly Clarkson,2013,3
Overdose,Ciara,2013,3
Give It 2 U,Robin Thicke,2013,3
Outta Nowhere (feat. Danny Mercer),Pitbull,2013,3
All of Me,John Legend,2014,3
Stay With Me,Sam Smith,2014,3
Summer,Calvin Harris,2014,3
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014,3
Rude,MAGIC!,2014,3
Shake It Off,Taylor Swift,2014,3
Dark Horse,Katy Perry,2014,3
Maps,Maroon 5,2014,3
Treasure,Bruno Mars,2014,3
Problem,Ariana Grande,2014,3
Love Me Again,John Newman,2014,3
Adore You,Miley Cyrus,2014,3
Love Never Felt So Good,Michael Jackson,2014,3
Burn,Ellie Goulding,2014,3
Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,3
Gorilla,Bruno Mars,2014,3
human,Christina Perri,2014,3
Young Girls,Bruno Mars,2014,3
Wiggle (feat. Snoop Dogg),Jason Derulo,2014,3
Love Runs Out,OneRepublic,2014,3
This Is How We Do,Katy Perry,2014,3
Mmm Yeah (feat. Pitbull),Austin Mahone,2014,3
A Little Party Never Killed Nobody (All We Got),Fergie,2014,3
Partition,Beyoncé,2014,3
Birthday,Katy Perry,2014,3
G.U.Y.,Lady Gaga,2014,3
"Let It Go - From ""Frozen / Single Version",Demi Lovato,2014,3
Wings,Birdy,2014,3
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,2014,3
Say Something,A Great Big World,2014,3
Come Get It Bae,Pharrell Williams,2014,3
XO,Beyoncé,2014,3
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,2014,3
Not About Angels,Birdy,2014,3
Drunk in Love,Beyoncé,2014,3
Anaconda,Nicki Minaj,2014,3
Tee Shirt - Soundtrack Version,Birdy,2014,3
Words as Weapons,Birdy,2014,3
You're Mine (Eternal),Mariah Carey,2014,3
Sheezus,Lily Allen,2014,3
I Luh Ya Papi,Jennifer Lopez,2014,3
Not a Bad Thing,Justin Timberlake,2014,3
Thinking out Loud,Ed Sheeran,2015,3
I'm Not The Only One,Sam Smith,2015,3
Uptown Funk,Mark Ronson,2015,3
Sugar,Maroon 5,2015,3
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,3
Want to Want Me,Jason Derulo,2015,3
My House,Flo Rida,2015,3
How Deep Is Your Love,Calvin Harris,2015,3
Never Forget You,Zara Larsson,2015,3
Love Me Harder,Ariana Grande,2015,3
Animals,Maroon 5,2015,3
Blame,Calvin Harris,2015,3
Worth It,Fifth Harmony,2015,3
Break Free,Ariana Grande,2015,3
Don't,Ed Sheeran,2015,3
Rather Be (feat. Jess Glynne),Clean Bandit,2015,3
Dear Future Husband,Meghan Trainor,2015,3
43776,Beyoncé,2015,3
The Heart Wants What It Wants,Selena Gomez,2015,3
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,2015,3
Genie In a Bottle,Christina Aguilera,2015,3
Sing,Ed Sheeran,2015,3
Jealous - Remix,Nick Jonas,2015,3
Really Don't Care,Demi Lovato,2015,3
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,2015,3
Heartbeat Song,Kelly Clarkson,2015,3
Up,Olly Murs,2015,3
Trumpets,Jason Derulo,2015,3
Same Old Love,Selena Gomez,2015,3
Lips Are Movin,Meghan Trainor,2015,3
I Lived,OneRepublic,2015,3
Fireball (feat. John Ryan),Pitbull,2015,3
Easy Love,Sigala,2015,3
BO$$,Fifth Harmony,2015,3
Sugar,Maroon 5,2015,3
Focus,Ariana Grande,2015,3
All About That Bass,Meghan Trainor,2015,3
On My Mind,Ellie Goulding,2015,3
Love Me Like You,Little Mix,2015,3
Booty,Jennifer Lopez,2015,3
Lay It All on Me,Rudimental,2015,3
Sugar (feat. Francesco Yates),Robin Schulz,2015,3
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,3
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,2015,3
Ghosttown,Madonna,2015,3
Bang My Head (feat. Sia & Fetty Wap),David Guetta,2015,3
Bloodstream,Ed Sheeran,2015,3
Living For Love,Madonna,2015,3
Baby Don't Lie,Gwen Stefani,2015,3
Don't Be so Hard on Yourself,Jess Glynne,2015,3
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,2015,3
Yesterday (feat. Bebe Rexha),David Guetta,2015,3
Time of Our Lives,Pitbull,2015,3
Sparks,Hilary Duff,2015,3
Mr. Put It Down,Ricky Martin,2015,3
Legendary Lovers,Katy Perry,2015,3
Spark The Fire,Gwen Stefani,2015,3
Run Run Run,Kelly Clarkson,2015,3
Let Me Be Your Lover,Enrique Iglesias,2015,3
Dangerous,Jennifer Hudson,2015,3
L.A.LOVE (la la),Fergie,2015,3
Cake By The Ocean,DNCE,2016,3
Into You,Ariana Grande,2016,3
This Is What You Came For,Calvin Harris,2016,3
Million Reasons,Lady Gaga,2016,3
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,3
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,3
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2016,3
"Me, Myself & I",G-Eazy,2016,3
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,3
Dangerous Woman,Ariana Grande,2016,3
Starving,Hailee Steinfeld,2016,3
Shout Out to My Ex,Little Mix,2016,3
Confident,Demi Lovato,2016,3
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,3
Me Too,Meghan Trainor,2016,3
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2016,3
Ain't Your Mama,Jennifer Lopez,2016,3
Close,Nick Jonas,2016,3
Toothbrush,DNCE,2016,3
Final Song,MØ,2016,3
Hands To Myself,Selena Gomez,2016,3
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2016,3
NO,Meghan Trainor,2016,3
Kill Em With Kindness,Selena Gomez,2016,3
Cool Girl,Tove Lo,2016,3
Perfect Illusion,Lady Gaga,2016,3
PILLOWTALK,ZAYN,2016,3
Out Of The Woods,Taylor Swift,2016,3
Rise,Katy Perry,2016,3
Wherever I Go,OneRepublic,2016,3
Body Say,Demi Lovato,2016,3
LIKE I WOULD,ZAYN,2016,3
I Got You,Bebe Rexha,2016,3
Cruel (feat. ZAYN),Snakehips,2016,3
WTF (Where They From),Missy Elliott,2016,3
Desire,Years & Years,2016,3
Hurts,Emeli Sandé,2016,3
Change,Christina Aguilera,2016,3
Make Me... (feat. G-Eazy),Britney Spears,2016,3
Keeping Your Head Up,Birdy,2016,3
Make Me Like You,Gwen Stefani,2016,3
Champagne Problems,Nick Jonas,2016,3
Blown,DNCE,2016,3
Start,John Legend,2016,3
Pep Rally,Missy Elliott,2016,3
Invitation,Britney Spears,2016,3
One Call Away (feat. Tyga) - Remix,Charlie Puth,2016,3
Little Lies,Hilary Duff,2016,3
Do You Wanna Come Over?,Britney Spears,2016,3
BURNITUP!,Janet Jackson,2016,3
Shape of You,Ed Sheeran,2017,3
That's What I Like,Bruno Mars,2017,3
Side To Side,Ariana Grande,2017,3
It Ain't Me (with Selena Gomez),Kygo,2017,1
Malibu,Miley Cyrus,2017,3
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,3
I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,3
My Way,Calvin Harris,2017,3
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017,3
Praying,Kesha,2017,3
Crying in the Club,Camila Cabello,2017,3
Mama,Jonas Blue,2017,3
Slide (feat. Frank Ocean & Migos),Calvin Harris,2017,3
Swish Swish,Katy Perry,2017,3
Chained To The Rhythm,Katy Perry,2017,3
Cold (feat. Future),Maroon 5,2017,3
First Time,Kygo,2017,1
The Cure,Lady Gaga,2017,3
Bodak Yellow,Cardi B,2017,3
Rich Love (with Seeb),OneRepublic,2017,3
Came Here for Love,Sigala,2017,3
24K Magic,Bruno Mars,2017,3
Strip That Down (feat. Quavo),Liam Payne,2017,3
OK - Spotify Version,Robin Schulz,2017,3
Bon appétit,Katy Perry,2017,3
Kissing Strangers,DNCE,2017,3
Slow Hands,Niall Horan,2017,3
Younger Now,Miley Cyrus,2017,3
Body Moves,DNCE,2017,3
Angel,Fifth Harmony,2017,3
Touch (feat. Kid Ink),Little Mix,2017,3
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,2017,3
No Vacancy (with Sebastián Yatra),OneRepublic,2017,3
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,2017,3
Influence,Tove Lo,2017,3
Remember I Told You,Nick Jonas,2017,3
Messin' Around,Pitbull,2017,3
Kissing Strangers - Remix,DNCE,2017,3
One Kiss (with Dua Lipa),Calvin Harris,2018,3
Havana (feat. Young Thug),Camila Cabello,2018,3
I Like It,Cardi B,2018,3
New Rules,Dua Lipa,2018,3
no tears left to cry,Ariana Grande,2018,3
IDGAF,Dua Lipa,2018,3
Wolves,Selena Gomez,2018,3
Dusk Till Dawn - Radio Edit,ZAYN,2018,3
Attention,Charlie Puth,2018,3
Electricity (with Dua Lipa),Silk City,2018,1
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2018,3
Sorry Not Sorry,Demi Lovato,2018,3
Shallow - Radio Edit,Lady Gaga,2018,3
These Days,Rudimental,2018,3
What Lovers Do (feat. SZA),Maroon 5,2018,3
Finesse - Remix; feat. Cardi B,Bruno Mars,2018,3
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,3
Bad At Love,Halsey,2018,3
Him & I (with Halsey),G-Eazy,2018,3
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2018,3
My My My!,Troye Sivan,2018,3
Capital Letters,Hailee Steinfeld,2018,3
Look What You Made Me Do,Taylor Swift,2018,3
Bad Liar,Selena Gomez,2018,3
Anywhere,Rita Ora,2018,3
Say Something,Justin Timberlake,2018,3
Chun-Li,Nicki Minaj,2018,3
Sign of the Times,Harry Styles,2018,3
Familiar,Liam Payne,2018,3
Let Me,ZAYN,2018,3
Supernova,Ansel Elgort,2018,3
First Time,Kygo,2018,1
End Game,Taylor Swift,2018,3
Lemon,N.E.R.D,2018,3
For You (With Rita Ora),Liam Payne,2018,3
Want To,Dua Lipa,2018,3
What I Need (feat. Kehlani),Hayley Kiyoko,2018,3
Wait,Maroon 5,2018,3
What About Us,P!nk,2018,3
Kissing Strangers,DNCE,2018,3
2U (feat. Justin Bieber),David Guetta,2018,3
Walk On Water (feat. Beyoncé),Eminem,2018,3
This Town,Niall Horan,2018,3
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,3
MOVE TO MIAMI,Enrique Iglesias,2018,3
Filthy,Justin Timberlake,2018,3
Never Be the Same - Radio Edit,Camila Cabello,2018,3
Ferrari,Bebe Rexha,2018,3
Supplies,Justin Timberlake,2018,3
...Ready For It? - BloodPop® Remix,Taylor Swift,2018,3
Drip (feat. Migos),Cardi B,2018,3
Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,3
Memories,Maroon 5,2019,3
Lose You To Love Me,Selena Gomez,2019,3
Someone You Loved,Lewis Capaldi,2019,3
How Do You Sleep?,Sam Smith,2019,3
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,3
Higher Love,Kygo,2019,1
Beautiful People (feat. Khalid),Ed Sheeran,2019,3
Don't Call Me Up,Mabel,2019,3
I Don't Care (with Justin Bieber),Ed Sheeran,2019,3
Giant (with Rag'n'Bone Man),Calvin Harris,2019,3
Girls Like You (feat. Cardi B),Maroon 5,2019,3
No Guidance (feat. Drake),Chris Brown,2019,3
Antisocial (with Travis Scott),Ed Sheeran,2019,3
Find U Again (feat. Camila Cabello),Mark Ronson,2019,3
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,3
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,2019,3
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019,3
Sparky,Cruel Santino,2019,0
shuga rush,Odunsi (The Engine),2020,3
LITT!,AYLØ,2018,0
Confident / Feeling Cool,Lady Donli,2019,3
wanted you,Odunsi (The Engine),2018,3
Kasala,DRB Lasgidi,2020,3
Pull Up,prettyboydo,2018,3
take a break,Odunsi (The Engine),2018,3
Cash,Lady Donli,2019,3
SATISFIED,Tay Iwar,2019,0
Morocco,Cruel Santino,2019,0
luv in a mosh,Odunsi (The Engine),2020,3
Raw Dinner,Cruel Santino,2019,0
Waka,prettyboydo,2020,3
Summer Time (feat. Tay Iwar),Cruel Santino,2016,0
Bite the Dust,Lady Donli,2019,3
City on Lights!,AYLØ,2019,0
PDA!,Odunsi (The Engine),2020,3
End Of The Wicked (feat. Octavian),Cruel Santino,2020,0
hectic,Odunsi (The Engine),2018,3
Whoa!,AYLØ,2017,0
FLAVA,Lady Donli,2019,3
Alté Cruise,Odunsi (The Engine),2018,3
Classic,Lady Donli,2018,3
I listen to you...,AYLØ,2019,0
angel,Odunsi (The Engine),2018,3
Around,Lady Donli,2019,3
SPACE,Tay Iwar,2019,0
Alté,DRB Lasgidi,2019,3
Beginning,Joeboy,2019,3
Aye,DaVido,2014,3
Baby,Joeboy,2019,3
Assurance,DaVido,2018,3
Nobody Fine Pass You,T-Classic,2019,3
Duduke,Simi,2020,3
If,DaVido,2017,3
Amen,chike,2020,3
Yanga,Chidinma,2018,3
Pana,Tekno,2017,3
Majesty,Peruzzi,2018,3
FIA,DaVido,2017,3
Prayer,DMW,2017,3
Fall,DaVido,2017,3
Duro (Remix),Tekno,2015,3
Aje,DMW,2018,3
Ohemaa,Kuami Eugene,2019,3
Dada Omo,Sugarboy,2017,3
Return,DaVido,2016,3
Kedike,This Is Africa,2013,3
Angela,Kuami Eugene,2017,3
Where,Tekno,2016,3
Forever,M.I. Abaga,2009,3
Dodo,DaVido,2015,3
O Wa N'bę,Simi,2017,3
BE,Tekno,2017,3
Woman,Tekno,2019,3
1er Gaou - Version originale,Magic System,2012,3
Undisputed,M.I. Abaga,2011,3
Dami Duro,DaVido,2020,3
Kako bi Chicken,Reminisce,2012,3
Ekuro,DaVido,2016,3
Diana,Tekno,2016,3
Gbagbe Oshi,DaVido,2016,3
Ah Skiibii (Remix) [feat. Olamide],Skiibii,2016,3
Love Don't Lie,Johnny Drille,2015,3
Wait for Me,Johnny Drille,2015,3
Tonight,Nonso Amadi,2016,3
Bokiniyen,Koker,2017,3
4 Me,Maleek Berry,2017,3
Legalize,Sugarboy,2016,3
Oje (feat. Wizkid),Legendury Beatz,2014,3
Radio,Nonso Amadi,2016,3
Wishlist,Various Artists,2016,3
One Call Away (feat. Maleek Berry),Legendury Beatz,2017,3
Say-Baba,CDQ,2017,3
First Come First Serve,CDQ,2016,3
Yetunde,Legendury Beatz,2016,3
Gbemisaya,CDQ,2016,3
Skeletun,Tekno,2019,3
Blow My Mind,DaVido,2019,3
Dumebi,Rema,2019,3
Risky,DaVido,2019,3
Sensima,Skiibii,2018,3
Iron Man,Rema,2019,3
Jogodo,Tekno,2018,3
Pana,Tekno,2016,3
Wonder Woman,DaVido,2018,3
Risky,DaVido,2019,3
Osinachi,HumbleSmith,2015,3
Duro,Tekno,2015,3
Yawa,Tekno,2017,3
Woman,Tekno,2019,3
Angela,Kuami Eugene,2018,3
My Level,Shatta Wale,2019,3
Taking Over,Shatta Wale,2019,3
FEM,DaVido,2020,3
Kontrol,Maleek Berry,2016,3
Sekem,MC Galaxy,2014,3
Wash,Tekno,2015,3
The Money,DaVido,2015,3
Baby (Chop Kiss),Shatta Wale,2016,3
Sekem,MC Galaxy,2015,3
Bend It,Maleek Berry,2017,3
Nek-Unek,Various Artists,2014,3
Mind,Various Artists,2018,3
Manya,Mut4y,2017,3
The Matter (feat. Wizkid),Maleek Berry,2013,3
Sisi Maria,Maleek Berry,2018,3
Yur Luv,Tekno,2018,3
Won Le Ba,Shizzi,2020,3
Ginger Me,Rema,2020,3
Where,Tekno,2016,3
Jealous (feat. Fire Boy),YBNL MaFia Family,2018,3
Skin,Minz,2018,3
Sos,Yung L,2013,3
Original,Fally Ipupa,2014,3
Nek-Unek,Various Artists,2014,3
Repete,Blackmagic,2013,3
Skelewu,DaVido,2014,3
All Of You,This Is Africa,2013,3
Ori Owo (feat. Tillaman),Various Artists,2014,3
Sukus,MC Galaxy,2014,3
Oh Baby (You & I),Various Artists,2014,3
Owo Ni Koko,Various Artists,2015,3
Anything,Tekno,2015,3
